2020-11-27_14-40-37-218, ypr, -63.02, 34.68, 17.72, areal, -6738, -3092, 1688
2020-11-27_14-40-37-236, ypr, -64.23, 35.38, 16.74, areal, -7014, -4105, 472
2020-11-27_14-40-37-251, ypr, -64.88, 35.87, 16.27, areal, -6952, -4473, -300
2020-11-27_14-40-37-269, ypr, -66.43, 36.64, 14.88, areal, -6751, -4498, 1288
2020-11-27_14-40-37-286, ypr, -67.92, 37.02, 13.76, areal, -6666, -3332, 2576
2020-11-27_14-40-37-302, ypr, -68.73, 37.30, 13.24, areal, -6693, -3223, 1900
2020-11-27_14-40-37-319, ypr, -70.53, 38.08, 12.04, areal, -7161, -2931, -515
2020-11-27_14-40-37-337, ypr, -72.44, 38.77, 10.52, areal, -7648, -3267, -148
2020-11-27_14-40-37-354, ypr, -73.58, 39.02, 9.39, areal, -7435, -4253, 622
2020-11-27_14-40-37-376, ypr, -77.20, 40.07, 6.07, areal, -7341, -4530, -1164
2020-11-27_14-40-37-392, ypr, -78.51, 40.35, 4.86, areal, -7572, -4053, -1649
2020-11-27_14-40-37-412, ypr, -81.31, 40.81, 2.08, areal, -6972, -4083, -1083
2020-11-27_14-40-37-430, ypr, -84.40, 41.05, -1.19, areal, -6661, -4901, -760
2020-11-27_14-40-37-448, ypr, -87.73, 40.97, -4.72, areal, -7273, -5084, -799
2020-11-27_14-40-37-469, ypr, -91.51, 40.47, -8.74, areal, -7455, -5328, -1528
2020-11-27_14-40-37-487, ypr, -95.56, 39.93, -13.02, areal, -6762, -5176, -2548
2020-11-27_14-40-37-503, ypr, -97.75, 39.41, -15.40, areal, -6364, -5705, -2103
2020-11-27_14-40-37-522, ypr, -102.31, 37.84, -20.06, areal, -5666, -5982, -1393
2020-11-27_14-40-37-540, ypr, -107.30, 35.51, -24.80, areal, -5102, -6174, -399
2020-11-27_14-40-37-559, ypr, -112.46, 32.56, -29.10, areal, -4586, -4809, -800
2020-11-27_14-40-37-577, ypr, -118.12, 28.94, -33.49, areal, -4179, -5742, -514
2020-11-27_14-40-37-596, ypr, -124.17, 24.73, -37.95, areal, -6030, -6971, -1127
2020-11-27_14-40-37-612, ypr, -127.63, 21.74, -40.13, areal, -8043, -7583, -1117
2020-11-27_14-40-37-630, ypr, -135.49, 15.84, -44.91, areal, -8143, -7402, -2424
2020-11-27_14-40-37-648, ypr, -143.22, 10.36, -49.38, areal, -2242, -7768, -189
2020-11-27_14-40-37-670, ypr, -146.36, 9.58, -51.28, areal, 4692, -5294, 5214
2020-11-27_14-40-37-688, ypr, -150.74, 5.65, -53.38, areal, 1310, -3009, -2628
2020-11-27_14-40-37-706, ypr, -153.36, 2.36, -54.26, areal, 3123, 685, 2971
2020-11-27_14-40-37-722, ypr, -153.78, 1.87, -54.57, areal, 6621, -312, 5294
2020-11-27_14-40-37-740, ypr, -156.11, -3.22, -55.78, areal, -2889, 6829, -5024
2020-11-27_14-40-37-759, ypr, -159.11, -5.49, -57.08, areal, 1836, 601, 2263
2020-11-27_14-40-37-778, ypr, -159.26, -5.01, -57.69, areal, 4038, -238, 1173
2020-11-27_14-40-37-796, ypr, -161.24, -7.10, -58.62, areal, 1413, 2868, -148
2020-11-27_14-40-37-813, ypr, -162.19, -7.81, -59.07, areal, -1107, 4636, -2239
2020-11-27_14-40-37-832, ypr, -163.71, -9.09, -60.14, areal, 5905, -849, 3571
2020-11-27_14-40-37-850, ypr, -164.48, -10.24, -60.24, areal, 5000, -2878, 7401
2020-11-27_14-40-37-869, ypr, -165.58, -10.95, -60.50, areal, 4420, -4091, 9733
2020-11-27_14-40-37-888, ypr, -166.65, -11.91, -60.35, areal, 9991, -1265, 10256
2020-11-27_14-40-37-906, ypr, -168.41, -12.79, -61.39, areal, 2854, -4532, 8790
2020-11-27_14-40-37-922, ypr, -170.26, -14.16, -61.84, areal, 2064, -4979, 7445
2020-11-27_14-40-37-940, ypr, -172.87, -15.36, -63.29, areal, 5112, 975, 2514
2020-11-27_14-40-37-958, ypr, -175.58, -17.42, -64.28, areal, 6072, -1587, 5206
2020-11-27_14-40-37-980, ypr, -177.81, -18.65, -66.01, areal, 9006, -1674, 5236
2020-11-27_14-40-37-998, ypr, 179.86, -20.22, -67.08, areal, 9076, -5190, 8042
2020-11-27_14-40-38-013, ypr, 179.90, -19.86, -67.42, areal, 11716, -4633, 8212
2020-11-27_14-40-38-032, ypr, 179.72, -19.37, -68.03, areal, 9577, -5531, 9737
2020-11-27_14-40-38-050, ypr, 178.92, -20.21, -68.11, areal, 7509, -6095, 10516
2020-11-27_14-40-38-067, ypr, 177.36, -21.54, -68.92, areal, 4338, -3828, 6492
2020-11-27_14-40-38-086, ypr, 175.93, -22.97, -69.09, areal, 4902, -4135, 6931
2020-11-27_14-40-38-102, ypr, 175.32, -23.45, -69.43, areal, 5493, -654, 3721
2020-11-27_14-40-38-119, ypr, 172.58, -25.46, -70.66, areal, 5336, 941, 2977
2020-11-27_14-40-38-137, ypr, 172.48, -25.80, -70.68, areal, 5684, -3153, 5544
2020-11-27_14-40-38-152, ypr, 171.71, -26.43, -71.10, areal, 3442, -1213, 2202
2020-11-27_14-40-38-170, ypr, 169.00, -27.72, -72.55, areal, 3992, -426, 1697
2020-11-27_14-40-38-187, ypr, 170.11, -25.94, -72.49, areal, 5612, -503, 1979
2020-11-27_14-40-38-203, ypr, 170.23, -25.46, -72.58, areal, 5728, -2819, 5182
2020-11-27_14-40-38-220, ypr, 172.73, -23.79, -71.45, areal, 10646, -5764, 7936
2020-11-27_14-40-38-238, ypr, 175.75, -21.58, -70.46, areal, 10982, -7309, 10562
2020-11-27_14-40-38-253, ypr, 177.63, -20.21, -69.64, areal, 8809, -7783, 11304
2020-11-27_14-40-38-270, ypr, -179.47, -18.36, -67.84, areal, 8994, -7668, 10676
2020-11-27_14-40-38-292, ypr, -176.42, -16.93, -66.18, areal, 7671, -5157, 6697
2020-11-27_14-40-38-310, ypr, -174.79, -15.79, -65.35, areal, 4441, -3241, 2543
2020-11-27_14-40-38-328, ypr, -173.44, -14.82, -64.71, areal, 2315, -4506, 3347
2020-11-27_14-40-38-348, ypr, -171.90, -13.44, -64.03, areal, 3991, -12, 469
2020-11-27_14-40-38-363, ypr, -171.05, -12.54, -63.78, areal, 4611, -1269, 2110
2020-11-27_14-40-38-382, ypr, -168.39, -10.22, -62.68, areal, 7514, -4934, 6884
2020-11-27_14-40-38-401, ypr, -164.63, -6.82, -61.16, areal, 11057, -6593, 8832
2020-11-27_14-40-38-419, ypr, -162.26, -5.23, -60.08, areal, 5483, -4341, 5390
2020-11-27_14-40-38-437, ypr, -160.61, -4.08, -59.22, areal, 4289, -2430, 3058
